Time;Grid voltage URS;Grid voltage UST;Grid voltage magnitude;Grid voltage magnitude filtered;DC link current;Control angle grid unlimited;Control angle grid;Control angle grid lower limit;Control angle grid upper limit;DC1 end position request;DC2 end position request;End position request causes;Control angle motor;PLL grid angle error;Notch mask grid;Grid frequency;Grid frequency filtered;Grid integrator angle;Speed;Excitation Ref Mode;PulseMode;DC link current filtered;DC reference limited;DC error;Release pulses grid;Pulse block causes;
0.0800250;0.578062;-0.995651;0.999952;0.999972;0.000731523;1.57445;2.61981;0.087;2.61981;1.0;0.0;1.0;2.58948;-2.83952e-05;0.0;0.99999;0.999987;-1.39552;0.249963;0.0;0.0;0.000728015;0.0;-0.000731523;0.0;0.0;
0.0810250;0.801957;-0.91829;0.999975;0.999969;0.000731523;1.57445;2.61981;0.087;2.61981;1.0;0.0;1.0;2.58948;2.77925e-05;0.0;1.00002;1.00001;-1.08136;0.249951;0.0;0.0;0.000733346;0.0;-0.000731523;0.0;0.0;
0.0820250;0.947271;-0.751022;0.999957;0.999969;0.000731523;1.57445;2.61981;0.087;2.61981;1.0;0.0;1.0;2.58948;4.734e-06;0.0;1.00001;1.0;-0.767196;0.249937;0.0;0.0;0.000713115;0.0;-0.000731523;0.0;0.0;
0.0830250;0.999891;-0.510225;0.999961;0.999969;0.000731523;1.57445;2.61981;0.087;2.61981;1.0;0.0;1.0;2.58948;3.13591e-05;0.0;1.00002;1.00001;-0.453034;0.249959;0.0;0.0;0.000720894;0.0;-0.000731523;0.0;0.0;
0.0840250;0.954647;-0.219539;0.999977;0.999965;0.000731523;1.57445;2.61981;0.087;2.61981;1.0;0.0;1.0;2.58948;-7.68325e-06;0.0;1.0;1.0;-0.138872;0.249949;0.0;0.0;0.000733674;0.0;-0.000731523;0.0;0.0;
0.0850250;0.815954;0.0926363;0.999966;0.999971;0.000731523;1.57445;2.61981;0.087;2.61981;1.0;0.0;1.0;2.58948;-5.05848e-05;0.0;0.999979;0.999989;0.175289;0.249967;0.0;0.0;0.000723986;0.0;-0.000731523;0.0;0.0;
0.0860250;0.597344;0.395809;0.999946;0.99995;0.000731523;1.57445;2.61982;0.087;2.61982;1.0;0.0;1.0;2.58948;-5.1641e-06;0.0;1.0;0.999996;0.489444;0.249943;0.0;0.0;0.000699761;0.0;-0.000731523;0.0;0.0;
0.0870250;0.320307;0.660186;0.999936;0.999945;0.000731523;1.57445;2.61981;0.087;2.61981;1.0;0.0;1.0;2.58948;-1.36666e-05;0.0;0.999997;1.0;0.803604;0.24995;0.0;0.0;0.000734431;0.0;-0.000731523;0.0;0.0;
0.0880250;0.0118481;0.859978;0.999928;0.999945;0.000627020;1.57393;2.61981;0.087;2.61981;1.0;0.0;1.0;2.58948;5.05146e-05;0.0;1.00003;1.00002;1.11777;0.249966;0.0;0.0;0.000731818;0.0;-0.000627020;0.0;0.0;
0.0890250;-0.297656;0.975556;0.999952;0.999963;0.000731523;1.57445;2.61982;0.087;2.61982;1.0;0.0;1.0;2.58948;-8.1192e-06;0.0;1.0;0.999994;1.43192;0.249968;0.0;0.0;0.000691686;0.0;-0.000731523;0.0;0.0;
0.0900250;-0.578062;0.995651;0.999952;0.999969;0.000731523;1.57445;2.61981;0.087;2.61981;1.0;0.0;1.0;2.58948;-3.05165e-05;0.0;0.999988;0.999986;1.74608;0.249962;0.0;0.0;0.000728015;0.0;-0.000731523;0.0;0.0;
0.0910250;-0.801957;0.91829;0.999975;0.999973;0.000731523;1.57445;2.61981;0.087;2.61981;1.0;0.0;1.0;2.58948;2.46941e-05;0.0;1.00002;1.0;2.06024;0.249978;0.0;0.0;0.000733346;0.0;-0.000731523;0.0;0.0;
0.0920250;-0.947271;0.751022;0.999957;0.999972;0.000731523;1.57445;2.61981;0.087;2.61981;1.0;0.0;1.0;2.58948;4.15761e-06;0.0;1.00001;1.0;2.3744;0.249974;0.0;0.0;0.000713115;0.0;-0.000731523;0.0;0.0;
0.0930250;-0.999891;0.510225;0.999961;0.999971;0.000731523;1.57445;2.61981;0.087;2.61981;1.0;0.0;1.0;2.58949;3.14352e-05;0.0;1.00002;1.00001;2.68856;0.249984;0.0;0.0;0.000720894;0.0;-0.000731523;0.0;0.0;
0.0940250;-0.954647;0.219539;0.999977;0.999971;0.000731523;1.57445;2.61981;0.087;2.61981;1.0;0.0;1.0;2.58948;-7.46088e-06;0.0;1.0;1.00001;3.00272;0.249962;0.0;0.0;0.000733674;0.0;-0.000731523;0.0;0.0;
