Time;input.current_ref_limited;input.dc_current_actual;output.control_angle;output.pi_controller_output;output.error;
0.211025;0.01;0.000731523;0.243409;0.041398;0.00926848;
0.212025;0.01;0.000731523;0.24338;0.0415833;0.00926848;
0.213025;0.01;0.00501616;0.246119;0.0243804;0.00498384;
0.214025;0.01;0.000627020;0.243294;0.0421231;0.00937298;
0.215025;0.01;0.000731523;0.243331;0.041891;0.00926848;
0.216025;0.01;0.0391887;0.267881;-0.112114;-0.0291887;
0.217025;0.01;0.0357401;0.265779;-0.098981;-0.0257401;
0.218025;0.01;0.000731523;0.243465;0.0410520;0.00926848;
0.219025;0.01;0.0160935;0.253242;-0.0203681;-0.00609350;
0.220025;0.01;0.0134809;0.251614;-0.0101418;-0.00348092;
0.221025;0.01;0.000731523;0.243469;0.0410213;0.00926848;
0.222025;0.01;0.000731523;0.24344;0.0412067;0.00926848;
0.223025;0.01;0.00762874;0.247848;0.0135208;0.00237126;
0.224025;0.01;0.000627020;0.24336;0.0417062;0.00937298;
0.225025;0.01;0.000731523;0.243397;0.0414741;0.00926848;
0.226025;0.01;0.0112864;0.250117;-0.000733862;-0.00128635;
0.227025;0.01;0.000731523;0.24337;0.0416429;0.00926848;
0.228025;0.01;0.000731523;0.243341;0.0418288;0.00926848;
0.229025;0.01;0.0180791;0.254383;-0.0275336;-0.00807907;
0.230025;0.01;0.0228862;0.257501;-0.0471106;-0.0128862;
0.231025;0.01;0.000731523;0.243376;0.0416053;0.00926848;
0.232025;0.01;0.000731523;0.243347;0.0417907;0.00926848;
0.233025;0.01;0.0122269;0.250689;-0.00433042;-0.00222688;
0.234025;0.01;0.000627020;0.243277;0.0422288;0.00937298;
0.235025;0.01;0.000731523;0.243314;0.0419967;0.00926848;
0.236025;0.01;0.0119134;0.250434;-0.00272457;-0.00191337;
0.237025;0.01;0.000731523;0.243289;0.0421532;0.00926848;
0.238025;0.01;0.000731523;0.243259;0.0423391;0.00926848;
0.239025;0.01;0.0198556;0.255434;-0.034135;-0.00985562;
0.240025;0.01;0.0327095;0.263708;-0.0860244;-0.0227095;
0.241025;0.01;0.000731523;0.243336;0.0418609;0.00926848;
0.242025;0.01;0.000731523;0.243306;0.0420462;0.00926848;
0.243025;0.01;0.017243;0.253851;-0.0241917;-0.00724304;
0.244025;0.01;0.000627020;0.243251;0.042394;0.00937298;
0.245025;0.01;0.000731523;0.243288;0.0421619;0.00926848;
0.246025;0.01;0.0131674;0.251207;-0.00758469;-0.00316741;
0.247025;0.01;0.000731523;0.243267;0.0422941;0.00926848;
0.248025;0.01;0.000731523;0.243237;0.04248;0.00926848;
0.249025;0.01;0.0215277;0.256475;-0.0406718;-0.0115277;
0.250025;0.01;0.0439959;0.270936;-0.131169;-0.0339959;
0.251025;0.01;0.00146305;0.243836;0.0387198;0.00853695;
0.252025;0.01;0.000731523;0.24334;0.0418313;0.00926848;
0.253025;0.01;0.0229907;0.257556;-0.0474585;-0.0129907;
0.254025;0.01;0.000627020;0.243306;0.0420495;0.00937298;
0.255025;0.01;0.000731523;0.243343;0.0418173;0.00926848;
0.256025;0.01;0.014944;0.252395;-0.0150485;-0.00494397;
0.257025;0.01;0.000731523;0.243327;0.0419151;0.00926848;
0.258025;0.01;0.000731523;0.243297;0.0421010;0.00926848;
0.259025;0.01;0.0115999;0.250209;-0.00131218;-0.00159986;
0.260025;0.01;0.000731523;0.243276;0.0422332;0.00926848;
