Time;Motor voltage URS;Motor voltage UST;Motor voltage magnitude;Motor voltage magnitude filtered;DC link current;Flux X;Flux Y;Flux angle;Flux magnitude;Rotor position flux;Rotor position plant;Control angle motor;PLL motor angle error;Notch mask motor;Motor frequency;Motor frequency filtered;Motor integrator angle;Speed;Excitation Ref Mode;PulseMode;DC link current filtered;DC reference limited;DC error;DC voltage;Pulse block causes;
0.0760250;-0.157095;0.247142;0.250155;0.250148;0.000731523;0.0;0.0;0.0;0.0;0.0;0.0250631;2.58948;-0.000513212;0.0;0.249934;0.249945;1.73698;0.249945;0.0;0.0;0.000699761;0.0;-0.000731523;-0.183953;0.0;
0.0770250;-0.164627;0.245394;0.250124;0.250145;0.000731523;0.0;0.0;0.0;0.0;0.0;0.0313131;2.58948;-0.000339970;0.0;0.249965;0.249942;1.77624;0.249942;0.0;0.0;0.000734431;0.0;-0.000731523;-0.183931;0.0;
0.0780250;-0.17189;0.243309;0.250128;0.250145;0.000627020;0.0;0.0;0.0;0.0;0.0;0.0375632;2.58948;-0.000360311;0.0;0.24996;0.249952;1.8155;0.249952;0.0;0.0;0.000731818;0.0;-0.000627020;-0.183934;0.0;
0.0790250;-0.178884;0.240888;0.250161;0.250144;0.000731523;0.0;0.0;0.0;0.0;0.0;0.0438131;2.58948;-0.000530820;0.0;0.249926;0.249942;1.85477;0.249942;0.0;0.0;0.000691686;0.0;-0.000731523;-0.183958;0.0;
0.0800250;-0.185609;0.237996;0.250116;0.250141;0.000731523;0.0;0.0;0.0;0.0;0.0;0.0500631;2.58948;-0.000341211;0.0;0.24996;0.249963;1.89403;0.249963;0.0;0.0;0.000728015;0.0;-0.000731523;-0.183925;0.0;
0.0810250;-0.192065;0.234836;0.250155;0.250140;0.000731523;0.0;0.0;0.0;0.0;0.0;0.0563132;2.58948;-0.000411475;0.0;0.249946;0.249951;1.93329;0.249951;0.0;0.0;0.000733346;0.0;-0.000731523;-0.183953;0.0;
0.0820250;-0.198185;0.231271;0.250144;0.250145;0.000731523;0.0;0.0;0.0;0.0;0.0;0.0625632;2.58948;-0.000512238;0.0;0.249925;0.249937;1.97255;0.249937;0.0;0.0;0.000713115;0.0;-0.000731523;-0.183945;0.0;
0.0830250;-0.204035;0.227304;0.250118;0.250144;0.000731523;0.0;0.0;0.0;0.0;0.0;0.0688131;2.58948;-0.000275178;0.0;0.249969;0.249959;2.01181;0.249959;0.0;0.0;0.000720894;0.0;-0.000731523;-0.183926;0.0;
0.0840250;-0.209550;0.223067;0.250137;0.250138;0.000731523;0.0;0.0;0.0;0.0;0.0;0.0750631;2.58948;-0.000440452;0.0;0.249936;0.249949;2.05108;0.249949;0.0;0.0;0.000733674;0.0;-0.000731523;-0.18394;0.0;
0.0850250;-0.214795;0.218427;0.250147;0.250143;0.000731523;0.0;0.0;0.0;0.0;0.0;0.0813132;2.58948;-0.000154958;0.0;0.249989;0.249967;2.09034;0.249967;0.0;0.0;0.000723986;0.0;-0.000731523;-0.183948;0.0;
0.0860250;-0.219637;0.213517;0.250157;0.250136;0.000731523;0.0;0.0;0.0;0.0;0.0;0.0875632;2.58948;-0.000434083;0.0;0.249934;0.249943;2.1296;0.249943;0.0;0.0;0.000699761;0.0;-0.000731523;-0.183954;0.0;
0.0870250;-0.224143;0.208205;0.250124;0.250136;0.000731523;0.0;0.0;0.0;0.0;0.0;0.0938131;2.58948;-0.000398516;0.0;0.24994;0.24995;2.16886;0.24995;0.0;0.0;0.000734431;0.0;-0.000731523;-0.183931;0.0;
0.0880250;-0.22838;0.202623;0.250169;0.250138;0.000627020;0.0;0.0;0.0;0.0;0.0;0.100063;2.58948;-0.000284930;0.0;0.24996;0.249966;2.20813;0.249966;0.0;0.0;0.000731818;0.0;-0.000627020;-0.183964;0.0;
0.0890250;-0.232213;0.196705;0.250169;0.250143;0.000731523;0.0;0.0;0.0;0.0;0.0;0.106313;2.58948;-0.000273080;0.0;0.249962;0.249968;2.24739;0.249968;0.0;0.0;0.000691686;0.0;-0.000731523;-0.183963;0.0;
0.0900250;-0.235643;0.190451;0.250122;0.250142;0.000731523;0.0;0.0;0.0;0.0;0.0;0.112563;2.58948;-0.000277217;0.0;0.24996;0.249962;2.28666;0.249962;0.0;0.0;0.000728015;0.0;-0.000731523;-0.183929;0.0;
0.0910250;-0.238803;0.183928;0.250157;0.250141;0.000731523;0.0;0.0;0.0;0.0;0.0;0.118813;2.58948;-5.51257e-05;0.0;0.250001;0.249978;2.32592;0.249978;0.0;0.0;0.000733346;0.0;-0.000731523;-0.183955;0.0;
0.0920250;-0.241493;0.177135;0.250117;0.250145;0.000731523;0.0;0.0;0.0;0.0;0.0;0.125063;2.58948;-0.000245773;0.0;0.249964;0.249974;2.36519;0.249974;0.0;0.0;0.000713115;0.0;-0.000731523;-0.183926;0.0;
0.0930250;-0.243914;0.170074;0.250162;0.250146;0.000731523;0.0;0.0;0.0;0.0;0.0;0.131313;2.58949;-0.000118031;0.0;0.249988;0.249984;2.40445;0.249984;0.0;0.0;0.000720894;0.0;-0.000731523;-0.183959;0.0;
0.0940250;-0.245864;0.162744;0.250125;0.250143;0.000731523;0.0;0.0;0.0;0.0;0.0;0.137563;2.58948;-0.000258878;0.0;0.24996;0.249962;2.44372;0.249962;0.0;0.0;0.000733674;0.0;-0.000731523;-0.183932;0.0;
0.0950250;-0.247478;0.155145;0.250121;0.250146;0.000731523;0.0;0.0;0.0;0.0;0.0;0.143813;2.58948;-0.000181460;0.0;0.249974;0.249969;2.48298;0.249969;0.0;0.0;0.000723986;0.0;-0.000731523;-0.183929;0.0;
0.0960250;-0.248756;0.147344;0.250166;0.250147;0.000731523;0.0;0.0;0.0;0.0;0.0;0.150063;2.58948;-0.000150318;0.0;0.249979;0.249973;2.52225;0.249973;0.0;0.0;0.000699761;0.0;-0.000731523;-0.183961;0.0;
0.0970250;-0.249563;0.139274;0.250124;0.250145;0.000731523;0.0;0.0;0.0;0.0;0.0;0.156313;2.58949;-0.000166661;0.0;0.249976;0.249981;2.56151;0.249981;0.0;0.0;0.000734431;0.0;-0.000731523;-0.183931;0.0;
0.0980250;-0.250034;0.131002;0.250129;0.250143;0.000627020;0.0;0.0;0.0;0.0;0.0;0.162563;2.58948;-0.000111834;0.0;0.249985;0.249978;2.60078;0.249978;0.0;0.0;0.000731818;0.0;-0.000627020;-0.183935;0.0;
0.0990250;-0.250101;0.122529;0.250118;0.250149;0.000731523;0.0;0.0;0.0;0.0;0.0;0.168813;2.58949;-0.000101679;0.0;0.249987;0.249991;2.64005;0.249991;0.0;0.0;0.000691686;0.0;-0.000731523;-0.183926;0.0;
0.100025;-0.249832;0.113921;0.250155;0.250150;0.000731523;0.0;0.0;0.0;0.0;0.0;0.175063;2.58948;-0.000237028;0.0;0.249961;0.249976;2.67931;0.249976;1.0;0.0;0.000728015;0.0;-0.000731523;-0.183953;0.0;
