Time;input.control_angle_pu;output.upper_limit_pu;output.lower_limit_pu;output.limited_control_angle_pu;output.limit_active;
0.141025;0.24366;0.415784;0.0138465;0.24366;0.0;
0.142025;0.243631;0.416941;0.0138465;0.243631;0.0;
0.143025;0.253642;0.416584;0.0138465;0.253642;0.0;
0.144025;0.243574;0.416416;0.0138465;0.243574;0.0;
0.145025;0.243611;0.416986;0.0138465;0.243611;0.0;
0.146025;0.25153;0.41685;0.0138465;0.25153;0.0;
0.147025;0.243589;0.416565;0.0138465;0.243589;0.0;
0.148025;0.24356;0.416965;0.0138465;0.24356;0.0;
0.149025;0.256798;0.416939;0.0138465;0.256798;0.0;
0.150025;0.271262;0.415899;0.0138465;0.271262;0.0;
0.151025;0.244159;0.415292;0.0138465;0.244159;0.0;
0.152025;0.243663;0.41676;0.0138465;0.243663;0.0;
0.153025;0.257279;0.416585;0.0138465;0.257279;0.0;
0.154025;0.243626;0.416208;0.0138465;0.243626;0.0;
0.155025;0.243663;0.416957;0.0138465;0.243663;0.0;
0.156025;0.252782;0.416856;0.0138465;0.252782;0.0;
0.157025;0.243647;0.4165;0.0138465;0.243647;0.0;
0.158025;0.243618;0.416956;0.0138465;0.243618;0.0;
0.159025;0.250529;0.416943;0.0138465;0.250529;0.0;
0.160025;0.243597;0.416521;0.0138465;0.243597;0.0;
0.161025;0.243567;0.416911;0.0138465;0.243567;0.0;
0.162025;0.243537;0.416977;0.0138465;0.243537;0.0;
0.163025;0.262297;0.416491;0.0138465;0.262297;0.0;
0.164025;0.243601;0.415876;0.0138465;0.243601;0.0;
0.165025;0.243571;0.416856;0.0138465;0.243571;0.0;
0.166025;0.254157;0.416873;0.0138465;0.254157;0.0;
0.167025;0.243565;0.416403;0.0138465;0.243565;0.0;
0.168025;0.243535;0.416934;0.0138465;0.243535;0.0;
0.169025;0.250580;0.416948;0.0138465;0.250580;0.0;
0.170025;0.243516;0.416504;0.0138465;0.243516;0.0;
0.171025;0.243486;0.416902;0.0138465;0.243486;0.0;
0.172025;0.243456;0.416978;0.0138465;0.243456;0.0;
0.173025;0.266838;0.416453;0.0138465;0.266838;0.0;
0.174025;0.243827;0.415555;0.0138465;0.243827;0.0;
0.175025;0.243531;0.416663;0.0138465;0.243531;0.0;
0.176025;0.256051;0.416895;0.0138465;0.256051;0.0;
0.177025;0.243538;0.416271;0.0138465;0.243538;0.0;
0.178025;0.243509;0.416882;0.0138465;0.243509;0.0;
0.179025;0.250820;0.416959;0.0138465;0.250820;0.0;
0.180025;0.243493;0.416472;0.0138465;0.243493;0.0;
0.181025;0.243463;0.416883;0.0138465;0.243463;0.0;
0.182025;0.243434;0.416981;0.0138465;0.243434;0.0;
0.183025;0.27219;0.416435;0.0138465;0.27219;0.0;
0.184025;0.254772;0.415183;0.0138465;0.254772;0.0;
0.185025;0.243566;0.416279;0.0138465;0.243566;0.0;
0.186025;0.258287;0.416919;0.0138465;0.258287;0.0;
0.187025;0.244060;0.416117;0.0138465;0.244060;0.0;
0.188025;0.243564;0.416772;0.0138465;0.243564;0.0;
0.189025;0.251275;0.416974;0.0138465;0.251275;0.0;
0.190025;0.243688;0.416426;0.0138465;0.243688;0.0;
0.191025;0.243525;0.416849;0.0138465;0.243525;0.0;
0.192025;0.243495;0.416986;0.0138465;0.243495;0.0;
0.193025;0.244166;0.416656;0.0138465;0.244166;0.0;
0.194025;0.243404;0.41677;0.0138465;0.243404;0.0;
