Time;I_a_motor_pu;I_c_motor_pu;U_ab_for_pll_motor;U_bc_for_pll_motor;PLL_error_motor;filtered_frequency_motor;frequency_motor;flux_angle;flux_magnitude;flux_x;flux_y;absolute_speed;motor_voltage_magnitude;dc_voltage;motor_overlap_mask;cos_phi;flux_rotor_frequency;flux_rotor_position;release_pulses;pulse_block_causes;rotor_position_plant;Integrator_angle_motor;R+_motor;S+_motor;T+_motor;R-_motor;S-_motor;T-_motor;dc_voltage_plant;motor_notch_mask_active;
0.0324753;9.76493e-05;3.10550e-05;-0.144011;0.108676;-5.09593e-05;0.150049;0.150049;1.95014;0.738021;-0.273294;0.685555;0.150049;0.150107;-0.109825;0.000207110;-0.847169;0.0208536;1.95014;0.0;0.0;0.766254;2.34033;0.0;0.0;0.0;0.0;0.0;0.0;-2.73581e-16;0.0;
0.0332127;9.9264e-05;2.87408e-05;-0.144737;0.106829;-5.65827e-05;0.150048;0.150047;1.95897;0.75443;-0.285552;0.698302;0.150048;0.150107;-0.109825;0.000207166;-0.847169;0.0216491;1.95897;0.0;0.0;0.783631;2.35771;0.0;0.0;0.0;0.0;0.0;0.0;-4.25254e-16;0.0;
0.0339501;0.000100848;2.64177e-05;-0.145417;0.104949;-6.20892e-05;0.150047;0.150046;1.96781;0.770780;-0.298032;0.710830;0.150047;0.150107;-0.109825;0.000206777;-0.847166;0.0224478;1.96781;0.0;0.0;0.801008;2.37509;0.0;0.0;0.0;0.0;0.0;0.0;-2.85305e-16;0.0;
0.0346875;0.000102400;2.40864e-05;-0.146052;0.103036;-6.74493e-05;0.150045;0.150045;1.97664;0.787070;-0.310732;0.723135;0.150045;0.150107;-0.109825;0.000206515;-0.847165;0.0232491;1.97664;0.0;0.0;0.818385;2.39247;0.0;0.0;0.0;0.0;0.0;0.0;-4.01508e-16;0.0;
0.0354249;0.000103920;2.17475e-05;-0.146642;0.101091;-7.28475e-05;0.150044;0.150044;1.98548;0.803298;-0.323648;0.735215;0.150044;0.150107;-0.109825;0.000206928;-0.847167;0.0240525;1.98548;0.0;0.0;0.835762;2.40985;0.0;0.0;0.0;0.0;0.0;0.0;-4.99459e-16;0.0;
0.0361623;0.000105408;1.94018e-05;-0.147186;0.0991148;-7.76956e-05;0.150043;0.150043;1.99431;0.819464;-0.336775;0.747064;0.150043;0.150107;-0.109825;0.000207198;-0.847169;0.0248574;1.99431;0.0;0.0;0.853139;2.42724;0.0;0.0;0.0;0.0;0.0;0.0;-4.32643e-16;0.0;
0.0368997;0.000106622;1.74424e-05;-0.147684;0.0971073;-8.28041e-05;0.150042;0.150041;2.00315;0.835566;-0.350109;0.758679;0.150042;0.150107;-0.109825;0.000206984;-0.847167;0.0256635;2.00315;0.0;0.0;0.870516;2.44462;0.0;0.0;0.0;0.0;0.0;0.0;-5.47859e-16;0.0;
0.0376371;0.000108049;1.50862e-05;-0.148063;0.0954112;-8.68886e-05;0.150041;0.150040;2.01051;0.848934;-0.361377;0.768177;0.150041;0.150107;-0.109825;0.000206579;-0.847165;0.0263358;2.01051;0.0;0.0;0.887893;2.462;0.0;0.0;0.0;0.0;0.0;0.0;-4.79404e-16;0.0;
0.0383745;0.000109442;1.27253e-05;-0.148476;0.0933486;-9.13856e-05;0.150040;0.150039;2.01935;0.864915;-0.375080;0.779354;0.150040;0.150107;-0.109825;0.000206626;-0.847165;0.0271426;2.01935;0.0;0.0;0.905270;2.47938;0.0;0.0;0.0;0.0;0.0;0.0;-1.78501e-16;0.0;
0.0391119;0.000110802;1.03604e-05;-0.148843;0.0912569;-9.60845e-05;0.150038;0.150038;2.02818;0.880829;-0.388979;0.790288;0.150038;0.150107;-0.109825;0.000207087;-0.847168;0.0279493;2.02818;0.0;0.0;0.922647;2.49676;0.0;0.0;0.0;0.0;0.0;0.0;-2.29043e-16;0.0;
